"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2012","1,414.28","1,435.75","1,440.94","1,408.41","","-1.50%"
"07/05/2012","1,435.76","1,444.30","1,458.46","1,430.47","","-0.59%"
"07/04/2012","1,444.31","1,437.19","1,446.39","1,426.02","","0.48%"
"07/03/2012","1,437.45","1,402.74","1,440.67","1,402.74","","2.47%"
"07/02/2012","1,402.74","1,387.52","1,406.21","1,383.67","","1.10%"
"06/29/2012","1,387.52","1,342.91","1,390.08","1,340.66","","3.32%"
"06/28/2012","1,342.91","1,365.93","1,379.17","1,341.01","","-1.69%"
"06/27/2012","1,365.93","1,342.82","1,366.25","1,341.62","","1.72%"
"06/26/2012","1,342.82","1,330.15","1,349.78","1,329.65","","0.95%"
"06/25/2012","1,330.15","1,347.16","1,349.63","1,325.74","","-1.26%"
"06/22/2012","1,347.15","1,363.58","1,363.58","1,342.23","","-1.20%"
"06/21/2012","1,363.58","1,374.69","1,382.67","1,363.14","","-0.81%"
"06/20/2012","1,374.69","1,389.97","1,392.13","1,370.94","","-1.10%"
"06/19/2012","1,389.97","1,389.12","1,397.34","1,382.24","","0.07%"
"06/18/2012","1,389.00","1,375.21","1,393.14","1,375.05","","1.00%"
"06/15/2012","1,375.23","1,346.04","1,379.74","1,346.00","","2.17%"
"06/14/2012","1,346.04","1,346.43","1,348.48","1,333.58","","-0.03%"
"06/13/2012","1,346.43","1,338.07","1,357.53","1,333.37","","1.01%"
"06/08/2012","1,332.92","1,336.38","1,336.44","1,315.94","","-0.26%"
"06/07/2012","1,336.33","1,313.21","1,340.35","1,297.77","","1.76%"
"06/06/2012","1,313.21","1,297.04","1,317.40","1,289.39","","1.25%"
"06/05/2012","1,297.04","1,305.86","1,320.65","1,291.00","","-0.68%"
"06/04/2012","1,305.86","1,298.08","1,314.24","1,280.10","","0.60%"
"06/01/2012","1,298.08","1,306.43","1,320.48","1,278.56","","-0.64%"
"05/31/2012","1,306.42","1,308.30","1,327.26","1,303.67","","-0.14%"
"05/30/2012","1,308.30","1,327.08","1,327.41","1,300.07","","-1.42%"
"05/29/2012","1,327.08","1,290.72","1,329.35","1,290.72","","2.82%"
"05/28/2012","1,290.72","1,281.61","1,304.28","1,280.85","","0.71%"
"05/25/2012","1,281.60","1,284.48","1,295.03","1,273.54","","-0.22%"
"05/24/2012","1,284.48","1,256.55","1,286.58","1,241.58","","2.22%"
